"func","file","line","expression","architectures","arm64_call_count","armv7_call_count","total_call_count"
"PerfTimerStop","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/sys/perfTimerANSI.c","171","FALSE","arm64","1","0","1"
"PerfTimerGetResults","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/sys/perfTimerANSI.c","200","FALSE","arm64","1","0","1"
"advanceMRPtr","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/sys/strcodec.c","192","pSC->m_bSecondary == FALSE","arm64","1","0","1"
"detach_SB","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/sys/strcodec.c","658","0 == pSB->cBitLeft","arm64","1","0","1"
"allocateBitIOInfo","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/sys/strcodec.c","722","pSC->WMISCP.bfBitstreamFormat == SPATIAL && pSC->WMISCP.cNumOfSliceMinus1H + pSC->WMISCP.cNumOfSliceMinus1V == 0","arm64","1","0","1"
"peekBit16","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/sys/strcodec.c","915","0 <= (I32)cBits && cBits <= 16","arm64","1","0","1"
"flushBit16","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/sys/strcodec.c","920","(pIO->iMask & 1) == 0","arm64","1","0","1"
"flushBit16","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/sys/strcodec.c","920","0 <= (I32)cBits && cBits <= 16","arm64","1","0","1"
"getBit32","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/sys/strcodec.c","959","0 <= (I32)cBits && cBits <= 32","arm64","1","0","1"
"putBit16z","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/sys/strcodec.c","982","cBits <= 16","arm64","1","0","1"
"putBit16z","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/sys/strcodec.c","983","0 == uiBits >> cBits","arm64","1","0","1"
"putBit16","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/sys/strcodec.c","996","cBits <= 16","arm64","1","0","1"
"putBit32","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/sys/strcodec.c","1004","0 <= (I32)cBits && cBits <= 32","arm64","1","0","1"
"attachISRead","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/sys/strcodec.c","1074","b","arm64","1","0","1"
"attachISRead","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/sys/strcodec.c","1077","b","arm64","1","0","1"
"readIS","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/sys/strcodec.c","1100","b","arm64","1","0","1"
"readIS","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/sys/strcodec.c","1106","b","arm64","1","0","1"
"detachISRead","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/sys/strcodec.c","1128","0 == (pIO->cBitsUsed % 8)","arm64","1","0","1"
"writeIS","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/sys/strcodec.c","1166","b","arm64","1","0","1"
"writeIS","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/sys/strcodec.c","1168","b","arm64","1","0","1"
"detachISWrite","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/sys/strcodec.c","1185","0 == (pIO->cBitsUsed % 8)","arm64","1","0","1"
"detachISWrite","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/sys/strcodec.c","1188","b","arm64","1","0","1"
"detachISWrite","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/sys/strcodec.c","1190","b","arm64","1","0","1"
"OutputPerfTimerReport","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/image/sys/strcodec.c","1237","pState->m_fMeasurePerf","arm64","1","0","1"
"CalcMetadataSizeLPSTR","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","51","DPKVT_LPSTR == var.vt","arm64","1","0","1"
"CalcMetadataSizeLPWSTR","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","72","DPKVT_LPWSTR == var.vt","arm64","1","0","1"
"CalcMetadataSizeUI2","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","92","DPKVT_UI2 == var.vt","arm64","1","0","1"
"CalcMetadataSizeUI4","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","106","DPKVT_UI4 == var.vt","arm64","1","0","1"
"CopyDescMetadata","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","170","FALSE","arm64","1","0","1"
"CopyDescMetadata","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","177","DPKVT_EMPTY == pvarDst->vt","arm64","1","0","1"
"FreeDescMetadata","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","199","FALSE","arm64","1","0","1"
"WriteDescMetadata","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","228","*puiCurrDescMetadataOffset <= pDEMisc->uDescMetadataByteCount","arm64","1","0","1"
"WriteDescMetadata","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","264","FALSE","arm64","1","0","1"
"WriteDescMetadata","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","272","*puiCurrDescMetadataOffset <= pDEMisc->uDescMetadataByteCount","arm64","1","0","1"
"WriteContainerPre","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","379","offPos <= OFFSET_OF_PFD","arm64","1","0","1"
"WriteContainerPre","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","678","0 == (offPos & 1)","arm64","1","0","1"
"WriteContainerPre","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","690","pDEMisc->uColorProfileOffset == offPos || pDEMisc->uDescMetadataOffset == offPos || pDEMisc->uXMPMetadataOffset == offPos || pDEMisc->uIPTCNAAMetadataOffset == offPos || pDEMisc->uPhotoshopMetadataOffset == offPos || pDEMisc->uEXIFMetadataOffset == offPos || pDEMisc->uGPSInfoMetadataOffset == offPos","arm64","1","0","1"
"WriteContainerPre","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","696","pDEMisc->uImageOffset == offPos","arm64","1","0","1"
"SetMetadata","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","1023","FALSE","arm64","1","0","1"
"PKImageEncode_SetDescriptiveMetadata_WMP","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","1156","FALSE","arm64","1","0","1"
"PKImageEncode_WritePixels_WMP","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","1193","BANDEDENCSTATE_UNINITIALIZED == pIE->WMP.eBandedEncState","arm64","1","0","1"
"PKImageEncode_WritePixelsBandedBegin_WMP","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","1229","BANDEDENCSTATE_UNINITIALIZED == pIE->WMP.eBandedEncState","arm64","1","0","1"
"PKImageEncode_WritePixelsBanded_WMP","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","1267","fPI","arm64","1","0","1"
"PKImageEncode_WritePixelsBanded_WMP","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","1279","fPI","arm64","1","0","1"
"PKImageEncode_WritePixelsBanded_WMP","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","1294","0 == offStart","arm64","1","0","1"
"PKImageEncode_WritePixelsBanded_WMP","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","1295","pIE->WMP.wmiSCP_Alpha.pWStream == pIE->WMP.wmiSCP.pWStream","arm64","1","0","1"
"PKImageEncode_WritePixelsBandedEnd_WMP","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","1315","BANDEDENCSTATE_ENCODING == pIE->WMP.eBandedEncState","arm64","1","0","1"
"PKImageEncode_WritePixelsBandedEnd_WMP","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","1328","pAlphaStream != pMainStream","arm64","1","0","1"
"PKImageEncode_WritePixelsBandedEnd_WMP","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","1350","cbBytesCopied == cbAlpha","arm64","1","0","1"
"PKImageEncode_Transcode_WMP","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","1404","pParam->uAlphaMode <= 3","arm64","1","0","1"
"PKImageEncode_Transcode_WMP","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","1427","pID->WMP.wmiDEMisc.uAlphaOffset > 0","arm64","1","0","1"
"ParsePFDEntry","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","1577","uValue < O_MAX","arm64","1","0","1"
"ParsePFDEntry","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","1662","DPKVT_LPSTR == pID->WMP.sDescMetadata.pvarImageDescription.vt","arm64","1","0","1"
"ParsePFDEntry","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","1668","DPKVT_LPSTR == pID->WMP.sDescMetadata.pvarCameraMake.vt","arm64","1","0","1"
"ParsePFDEntry","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","1674","DPKVT_LPSTR == pID->WMP.sDescMetadata.pvarCameraModel.vt","arm64","1","0","1"
"ParsePFDEntry","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","1680","DPKVT_LPSTR == pID->WMP.sDescMetadata.pvarSoftware.vt","arm64","1","0","1"
"ParsePFDEntry","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","1686","DPKVT_LPSTR == pID->WMP.sDescMetadata.pvarDateTime.vt","arm64","1","0","1"
"ParsePFDEntry","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","1692","DPKVT_LPSTR == pID->WMP.sDescMetadata.pvarArtist.vt","arm64","1","0","1"
"ParsePFDEntry","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","1698","DPKVT_LPSTR == pID->WMP.sDescMetadata.pvarCopyright.vt","arm64","1","0","1"
"ParsePFDEntry","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","1704","DPKVT_UI2 == pID->WMP.sDescMetadata.pvarRatingStars.vt","arm64","1","0","1"
"ParsePFDEntry","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","1710","DPKVT_UI2 == pID->WMP.sDescMetadata.pvarRatingValue.vt","arm64","1","0","1"
"ParsePFDEntry","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","1716","(DPKVT_BYREF | DPKVT_UI1) == pID->WMP.sDescMetadata.pvarCaption.vt","arm64","1","0","1"
"ParsePFDEntry","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","1721","0 == pID->WMP.sDescMetadata.pvarCaption.VT.pwszVal[uCount/sizeof(U16) - 1]","arm64","1","0","1"
"ParsePFDEntry","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","1730","DPKVT_LPSTR == pID->WMP.sDescMetadata.pvarDocumentName.vt","arm64","1","0","1"
"ParsePFDEntry","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","1736","DPKVT_LPSTR == pID->WMP.sDescMetadata.pvarPageName.vt","arm64","1","0","1"
"ParsePFDEntry","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","1742","DPKVT_UI4 == pID->WMP.sDescMetadata.pvarPageNumber.vt","arm64","1","0","1"
"ParsePFDEntry","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","1748","DPKVT_LPSTR == pID->WMP.sDescMetadata.pvarHostComputer.vt","arm64","1","0","1"
"PKImageDecode_Initialize_WMP","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","1861","Y_ONLY <= pID->WMP.wmiSCP.cfColorFormat && pID->WMP.wmiSCP.cfColorFormat < CFT_MAX","arm64","1","0","1"
"PKImageDecode_Initialize_WMP","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRGlueJxr.c","1862","BD_SHORT == pID->WMP.wmiSCP.bdBitDepth || BD_LONG == pID->WMP.wmiSCP.bdBitDepth","arm64","1","0","1"
"ReadPropvar","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRMeta.c","724","0 == pvar->VT.pszVal[uCount - 1]","arm64","1","0","1"
"ReadPropvar","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRMeta.c","751","FALSE","arm64","1","0","1"
"ReadPropvar","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRMeta.c","757","FALSE","arm64","1","0","1"
"WriteWmpDE","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRMeta.c","777","-1 != pDE->uCount","arm64","1","0","1"
"WriteWmpDE","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRMeta.c","778","-1 != pDE->uValueOrOffset","arm64","1","0","1"
"WriteWmpDE","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRMeta.c","782","pbData","arm64","1","0","1"
"WriteWmpDE","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRMeta.c","836","FALSE","arm64","1","0","1"
"WriteWmpDE","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRMeta.c","845","FALSE","arm64","1","0","1"
"WriteWmpDE","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRMeta.c","876","FALSE","arm64","1","0","1"
"WriteWmpDE","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/vendor/jxrlib/current/jxrgluelib/JXRMeta.c","896","FALSE","arm64","1","0","1"
"ready_residue","src/libavcodec/vorbisenc.c","216","cb->ndimensions >= 2","arm64","1","0","1"
"ready_residue","src/libavcodec/vorbisenc.c","217","cb->lookup","arm64","1","0","1"
"floor_encode","src/libavcodec/vorbisenc.c","826","l != csub","arm64","1","0","1"
"put_vector","src/libavcodec/vorbisenc.c","857","book->dimensions","arm64","1","0","1"
"residue_encode","src/libavcodec/vorbisenc.c","924","rc->type == 0 || rc->type == 2","arm64","1","0","1"
"residue_encode","src/libavcodec/vorbisenc.c","925","!(psize % book->ndimensions)","arm64","1","0","1"
"asf_parse_packet","src/libavformat/asfdec_f.c","1220","ret >= 0","arm64","1","0","1"
"asf_parse_packet","src/libavformat/asfdec_f.c","1408","offset + asf_st->ds_chunk_size <= asf_st->pkt.size","arm64","1","0","1"
"asf_parse_packet","src/libavformat/asfdec_f.c","1409","idx + 1 <= asf_st->pkt.size / asf_st->ds_chunk_size","arm64","1","0","1"
"asf_read_packet","src/libavformat/asfdec_f.c","1446","asf->packet_size_left < FRAME_HEADER_SIZE || asf->packet_segments < 1","arm64","1","0","1"
