"func","file","line","expression","architectures","arm64_call_count","armv7_call_count","total_call_count"
"DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","955","h == rcdst.get_height() && w == rcdst.get_width()","arm64;armv7","3","3","6"
"DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","987","_tar == _dst && rctar == rcdst","arm64;armv7","1","1","2"
"DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","989","h == rcdst.get_height() && w == rcdst.get_width()","arm64;armv7","1","1","2"
"DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1246","w == rctar.get_width() && h == rctar.get_height()","arm64;armv7","2","2","4"
"DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1315","rcsrc.get_width() == w && rcsrc.get_height() == -h","arm64;armv7","1","1","2"
"DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1341","rcsrc.get_width() == -w && rcsrc.get_height() == h","arm64;armv7","1","1","2"
"DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1377","w == rctar.get_width() && h == rctar.get_height()","arm64;armv7","1","1","2"
"DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1473","_tar == _dst && rctar == rcdst","arm64;armv7","15","15","30"
"DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1474","w == rctar.get_width() && h == rctar.get_height()","arm64;armv7","15","15","30"
"DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1530","w == rcdst.get_width() && h == rcdst.get_height()","arm64;armv7","3","3","6"
"DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1531","w == rctar.get_width() && h == rctar.get_height()","arm64;armv7","3","3","6"
"DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1601","w == rcdst.get_width() && h == rcdst.get_height()","arm64;armv7","3","3","6"
"DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1602","w == rctar.get_width() && h == rctar.get_height()","arm64;armv7","3","3","6"
"DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","1778","rctar.get_width() == w && rctar.get_height() == h","arm64;armv7","2","2","4"
