"binary","architecture","caller_function","caller_address","callsite","func","file","line","expression"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_1002978C0","0x1002978c0","0x100298018","EncodeRgba4Bpp","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/ogl/pvrtc.cpp","866","BitUtility::IsPowerOf2(bitmap.GetBitmapWidth())"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_1002B3E2C","0x1002b3e2c","0x1002b3e94","Release","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/movie/ffmpeg/Ref.h","25","count >= 0"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_1002E3EC0","0x1002e3ec0","0x1002e3ee4","AsTarget","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/ogl/RenderManager_ogl.cpp","969","false"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_1002EC71C","0x1002ec71c","0x1002ec740","SetSize","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/ogl/RenderManager_ogl.cpp","1461","false"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_1002EC744","0x1002ec744","0x1002ec768","GetScanLineForWrite","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/ogl/RenderManager_ogl.cpp","1446","false"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_1002EC8E4","0x1002ec8e4","0x1002ec97c","tTVPOGLTexture2D_mutatble","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/ogl/RenderManager_ogl.cpp","1483","sw == 1.f && sh == 1.f"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_1002F0A48","0x1002f0a48","0x1002f0d08","UpdateTextureData","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/ogl/RenderManager_ogl.cpp","1148","texinfo.Width <= GetMaxTextureWidth()"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_1002F9CB8","0x1002f9cb8","0x1002fa424","getGlyphOutline","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/plugins/LayerExDraw.cpp","2156","false"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_1002F9CB8","0x1002f9cb8","0x1002fa444","getGlyphOutline","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/plugins/LayerExDraw.cpp","2144","FT_CURVE_TAG(*tags) == FT_CURVE_TAG_CUBIC"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_1002F9CB8","0x1002f9cb8","0x1002fa464","getGlyphOutline","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/plugins/LayerExDraw.cpp","2150","FT_CURVE_TAG(*tags) == FT_CURVE_TAG_ON"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_1002F9CB8","0x1002f9cb8","0x1002fa484","getGlyphOutline","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/plugins/LayerExDraw.cpp","2147","FT_CURVE_TAG(*tags) == FT_CURVE_TAG_CUBIC"
