ordinal	kind	member	local_macro	android_arm64_name	android_arm64_publish	android_arm64_callbacks_unordered_if_pair	android_armv7_name	android_armv7_publish	android_armv7_callbacks	ios_arm64_name	ios_arm64_publish	ios_arm64_callbacks	ios_armv7_name	ios_armv7_publish	ios_armv7_callbacks	registration_status	body_status
49	RW_PROPERTY	left	NCB_PROPERTY	0x14D6F9A	0x6D53D8	0x6D6C88|0x6CA408	0xD75FD2	0x598452	0x59900A|0x592662	0x10195B61C	0x100124D34	0x1001256E8|0x10011D0BC	0x174D980	0x123FCC	0x12490C|0x11BA76	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
50	RW_PROPERTY	top	NCB_PROPERTY	0x14CD548	0x6D5440	0x6D6C94|0x6CA428	0xD7F6C6	0x598468	0x59901C|0x592688	0x10195B626	0x100124D58	0x100125710|0x10011D104	0x174D98A	0x123FE6	0x12493C|0x11BABC	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
51	METHOD	setFlip	NCB_METHOD	0x14D658A	0x6D54B8	0x6BE2FC	0xD85E98	0x59847E	0x58A4D8	0x10195CD16	0x100124D78	0x100113910	0x174F07A	0x124004	0x111326	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
52	RW_PROPERTY	flipX	NCB_PROPERTY	0x14D5378	0x6D5538	0x6CA448|0x6D6CA0	0xD84F10	0x59849C	0x59902E|0x5926AE	0x10195B69E	0x100124DA4	0x100125738|0x10011D14C	0x174DA02	0x12402E	0x12496C|0x11BB02	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
53	RW_PROPERTY	flipY	NCB_PROPERTY	0x14D5384	0x6D55B0	0x6CA46C|0x6D6CAC	0xD84F1C	0x5984BA	0x599038|0x5926C6	0x10195B6AA	0x100124DD0	0x100125760|0x10011D194	0x174DA0E	0x124058	0x124994|0x11BB3A	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
54	METHOD	setOpacity	NCB_METHOD	0x14D659A	0x6D5620	0x6BE408	0xD85EA8	0x5984D2	0x58A60A	0x10195CD26	0x100124DF4	0x100113AC0	0x174F08A	0x124078	0x1114E6	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
55	RW_PROPERTY	opacity	NCB_PROPERTY	0x14BE734	0x6D5698	0x6D6CB8	0xD84F80	0x5984EC	0x599042|0x58A60A	0x10195B70E	0x100124E1C	0x100125788|0x100113AC0	0x174DA72	0x12409A	0x1249BC|0x1114E6	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
56	METHOD	setVisible	NCB_METHOD	0x14D65B0	0x6D5708	0x6BE428	0xD85EBE	0x598504	0x58A622	0x10195CD3C	0x100124E40	0x100113B08	0x174F0A0	0x1240BA	0x11151E	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
57	RW_PROPERTY	visible	NCB_PROPERTY	0x15187D2	0x6D5778	0x6D6CC4	0xDBDBC0	0x59851E	0x59904C|0x58A622	0x10195B658	0x100124E68	0x1001257B0|0x100113B08	0x174D9BC	0x1240DC	0x1249E4|0x11151E	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
58	METHOD	setSlant	NCB_METHOD	0x14D65C6	0x6D5794	0x6BE3D8	0xD85ED4	0x598534	0x58A5C8	0x10195CD52	0x100124E88	0x100113A64	0x174F0B6	0x1240FA	0x11147C	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
59	RW_PROPERTY	slantX	NCB_PROPERTY	0x14D53CC	0x6D5824	0x6CE73C|0x6D6CD0	0xD84F64	0x598552	0x599056|0x594884	0x10195B6F2	0x100124EB4	0x1001257D8|0x100120024	0x174DA56	0x124124	0x124A0C|0x11ED34	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
60	RW_PROPERTY	slantY	NCB_PROPERTY	0x14D53DA	0x6D589C	0x6D6CDC|0x6CE75C	0xD84F72	0x598570	0x599068|0x5948AA	0x10195B700	0x100124EE0	0x100125800|0x10012006C	0x174DA64	0x12414E	0x124A3C|0x11ED7A	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
61	METHOD	setZoom	NCB_METHOD	0x14D65D8	0x6D58B8	0x6BE334	0x598B5C	0x598584	0x58A4FE	0x10195CD64	0x100124F00	0x10011396C	0x174F0C8	0x12416C	0x111372	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
62	RW_PROPERTY	zoomX	NCB_PROPERTY	0x14D5390	0x6D5948	0x6CE6FC|0x6D6CE8	0xD84F28	0x5985A2	0x59907A|0x594838	0x10195B6B6	0x100124F2C	0x100125828|0x10011FF94	0x174DA1A	0x124196	0x124A6C|0x11ECA8	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
63	RW_PROPERTY	zoomY	NCB_PROPERTY	0x14D539C	0x6D59C0	0x6D6CF4|0x6CE71C	0xD84F34	0x5985C0	0x59908C|0x59485E	0x10195B6C2	0x100124F58	0x100125850|0x10011FFDC	0x174DA26	0x1241C0	0x124A9C|0x11ECEE	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
64	RW_PROPERTY	useD3D	NCB_PROPERTY	0x14D65E8	0x6D5A40	0x6D6D00|0x6931C0	0xD85EE6	0x5985DE	0x570F4C|0x59909E	0x10195CD74	0x100124F84	0x1000F4090|0x100125878	0x174F0D8	0x1241EA	0xF0BDC|0x124ACC	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
65	RW_PROPERTY	pixelateDivision	NCB_PROPERTY	0x14BE890	0x6D5AC0	0x6D6D14|0x6D6D0C	0xD766DC	0x5985FC	0x5990A4|0x5990AA	0x10195CD82	0x100124FB0	0x100125880|0x100125888	0x174F0E6	0x124214	0x124AD2|0x124AD8	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
66	RAW_METHOD	setVariable	NCB_METHOD_RAW_CALLBACK	0x14BEB70	0x6D5B30	0x6CE250	0xD769A4	0x598610	0x594680	0x10195CDA4	0x100124FCC	0x10011FD04	0x174F108	0x124230	0x11E978	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
67	METHOD	getVariable	NCB_METHOD	0x14BEB88	0x6D5BA0	0x6CA77C	0xD769BC	0x598626	0x592810	0x10195CDBC	0x100124FEC	0x10011D3D8	0x174F120	0x12424E	0x11BD50	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
68	METHOD	modifyRoot	NCB_METHOD	0x14D3F94	0x6D5BBC	0x6CA490	0xD8494A	0x59863C	0x5926DE	0x10195CDD4	0x10012500C	0x10011D1DC	0x174F138	0x12426C	0x11BB72	EVIDENCED_4_4	IMPLEMENTED
69	RO_PROPERTY	processedMeshVerticesNum	NCB_PROPERTY_RO	0x14D3EE8	0x6D5C38	0x6CE3F8	0xD8489E	0x598656	0x594710	0x10195CDEA	0x100125034	0x10011FDA8	0x174F14E	0x12428E	0x11EA6C	EVIDENCED_4_4	IMPLEMENTED
