ordinal	kind	member	local_macro	android_arm64_name	android_arm64_publish	android_arm64_callbacks_unordered_if_pair	android_armv7_name	android_armv7_publish	android_armv7_callbacks	ios_arm64_name	ios_arm64_publish	ios_arm64_callbacks	ios_armv7_name	ios_armv7_publish	ios_armv7_callbacks	registration_status	body_status
11	RO_PROPERTY	tags	NCB_PROPERTY_RO	0x14D63BC	0x6D4318	0x6D69F8	0xD85CCA	0x59801A	0x598E50	0x10195CA4C	0x1001246DC	0x100125544	0x174EDB0	0x123A02	0x124748	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
12	RW_PROPERTY	motionKey	NCB_PROPERTY	0x14D3E56	0x6D4398	0x692FC0|0x6B1D58	0xD8480C	0x59803C	0x570E6C|0x5817A4	0x10195CA56	0x100124710	0x1000F3D84|0x100109168	0x174EDBA	0x123A30	0xF06F8|0x106994	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
13	RW_PROPERTY	project	NCB_PROPERTY	0x14D3E6A	0x6D4400	0x692FC0|0x6B1D58	0xD84820	0x598052	0x570E6C|0x5817A4	0x10195CA6A	0x100124734	0x1000F3D84|0x100109168	0x174EDCE	0x123A4A	0xF06F8|0x106994	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
14	RW_PROPERTY	completionType	NCB_PROPERTY	0x14D3E38	0x6D4480	0x6D6A0C|0x6D6A04	0xD847EE	0x598070	0x598E5E|0x598E64	0x10195CA7A	0x100124760	0x100125550|0x100125558	0x174EDDE	0x123A74	0x124756|0x12475C	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
15	RW_PROPERTY	preview	NCB_PROPERTY	0x14D63C6	0x6D4500	0x6D6A1C|0x6D6A14	0xD85CD4	0x59808E	0x598E6A|0x598E70	0x10195CA98	0x10012478C	0x100125560|0x100125568	0x174EDFC	0x123A9E	0x124762|0x124768	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
16	RW_PROPERTY	priorDraw	NCB_PROPERTY	0x14D3E8A	0x6D4578	0x6D6A30|0x6D6A28	0xD84840	0x5980AC	0x598E76|0x598E7C	0x10195C670	0x1001247B8	0x100125570|0x100125578	0x174E9D4	0x123AC8	0x12476E|0x124774	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
17	RW_PROPERTY	outsideFactor	NCB_PROPERTY	0x14D63D6	0x6D45F8	0x6D6A44|0x6D6A3C	0xD85CE4	0x5980CA	0x598E82|0x598E8C	0x10195CAA8	0x1001247E4	0x100125580|0x100125588	0x174EE0C	0x123AF2	0x12477A|0x124784	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
18	RW_PROPERTY	meshDivisionRatio	NCB_PROPERTY	0x14BE9DA	0x6D4670	0x6D6A54|0x6D6A4C	0xD7680E	0x5980E8	0x598E96|0x598EA0	0x10195CAC4	0x100124810	0x100125590|0x100125598	0x174EE28	0x123B1C	0x12478E|0x124798	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
19	RW_PROPERTY	speed	NCB_PROPERTY	0x14D385C	0x6D46E8	0x6D6A64|0x6D6A5C	0xD8433C	0x598106	0x598EAA|0x598EB4	0x10195CAE8	0x10012483C	0x1001255A0|0x1001255A8	0x174EE4C	0x123B46	0x1247A2|0x1247AC	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
20	RW_PROPERTY	syncActive	NCB_PROPERTY	0x14D63F2	0x6D4760	0x6D6A74|0x6D6A6C	0xD85D00	0x598124	0x598EBE|0x598EC4	0x10195CAF4	0x100124868	0x1001255B0|0x1001255B8	0x174EE58	0x123B70	0x1247B6|0x1247BC	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
